	TargetID	DrugID	Highest_status	MOA
167	T66693	D09ZGK	Clinical trial	CAR-T-Cell-Therapy
168	T66693	D0N8NT	Clinical trial	CAR-T-Cell-Therapy
169	T66693	D0LP1L	Clinical trial	CAR-T-Cell-Therapy
170	T66693	D0PF1A	Clinical trial	CAR-T-Cell-Therapy
171	T71164	D0RI8E	Clinical trial	CAR-T-Cell-Therapy
172	T56365	D0NL9N	Clinical trial	CAR-T-Cell-Therapy(Dual specific)
173	T25726	D09RPP	Clinical trial	CAR-T-Cell-Therapy
174	T25726	D0P1BM	Clinical trial	CAR-T-Cell-Therapy
175	T47863	D0T8DD	Clinical trial	CAR-T-Cell-Therapy
176	T56365	D05FZM	Clinical trial	CAR-T-Cell-Therapy
177	T10877	D0V6WU	Clinical trial	CAR-T-Cell-Therapy
178	T13017	D0T6NG	Clinical trial	CAR-T-Cell-Therapy
179	T56365	D09VYT	Clinical trial	CAR-T-Cell-Therapy
180	T56365	D0U5NO	Clinical trial	CAR-T-Cell-Therapy
181	T56365	D09IAN	Clinical trial	CAR-T-Cell-Therapy
182	T56365	D0B8BZ	Clinical trial	CAR-T-Cell-Therapy
183	T56365	D04PDI	Clinical trial	CAR-T-Cell-Therapy
184	T56365	D01JCT	Clinical trial	CAR-T-Cell-Therapy
185	T65883	D06CWZ	Clinical trial	CAR-T-Cell-Therapy
186	T87108	D04WZL	Clinical trial	CAR-T-Cell-Therapy
187	T86323	D0V6WW	Clinical trial	CAR-T-Cell-Therapy
188	T14912	D0I5DP	Phase 1	Inhibitor
189	T46360	D09AOO	Phase 1	Agonist
190	T69912	D05GZD	Phase 1	Inhibitor
191	T70176	D07DTV	Phase 1	Inhibitor
192	T68334	D0H2UB	Phase 1	Antagonist
193	T49639	D09VWI	Phase 1	Modulator
194	T90648	D0F5JZ	Phase 1	Inhibitor
195	T80975	D0F5JZ	Phase 1	Inhibitor
196	T30081	D05GZD	Phase 1	Inhibitor
197	T83369	D05RBH	Phase 1	Modulator
198	T62820	D0TS8E	Phase 1	Modulator
199	T31479	D05GZD	Phase 1	Modulator
200	T02719	D0P0ZY	Phase 1	Modulator
201	T62820	D0P0ZY	Phase 1	Modulator
202	T54156	D0T4BL	Phase 1	Inhibitor
203	T03500	D0T4BL	Phase 1	Inhibitor
204	T68251	D0T4BL	Phase 1	Inhibitor
205	T47623	D0H2UB	Phase 1	Inhibitor
206	T40474	D03GTO	Phase 1	CAR-T-Cell-Therapy(Dual specific)
207	T99948	D03GTO	Phase 1	CAR-T-Cell-Therapy(Dual specific)
208	T73215	D0E8ZL	Phase 1	CAR-T-Cell-Therapy(Dual specific)
209	T37539	D09AXQ	Phase 1	CAR-T-Cell-Therapy(Dual specific)
210	T85529	D0QE4F	Phase 1	CAR-T-Cell-Therapy(Dual specific)
211	T40474	D0D1HI	Phase 1	CAR-T-Cell-Therapy
212	T14597	D06XWD	Phase 1	CAR-T-Cell-Therapy
213	T66693	D0U2PU	Phase 1	CAR-T-Cell-Therapy
214	T66693	D0NG3T	Phase 1	CAR-T-Cell-Therapy
215	T64969	D0B5PV	Phase 1	CAR-T-Cell-Therapy
216	T56365	D0M5II	Phase 1	CAR-T-Cell-Therapy
217	T05409	D08HKK	Phase 1	CAR-T-Cell-Therapy(Dual specific)
218	T56365	D0QE4F	Phase 1	CAR-T-Cell-Therapy(Dual specific)
219	T23953	D02MYI	Phase 1	CAR-T-Cell-Therapy
220	T16601	D0L6HU	Phase 1	CAR-T-Cell-Therapy
221	T18779	D06URX	Phase 1	CAR-T-Cell-Therapy
222	T87108	D0L7OJ	Phase 1	CAR-T-Cell-Therapy
223	T56365	D0MD8S	Phase 1	CAR-T-Cell-Therapy(Dual specific)
224	T87108	D0MD8S	Phase 1	CAR-T-Cell-Therapy(Dual specific)
225	T64969	D0ZQ6N	Phase 1	CAR-T-Cell-Therapy
226	T46208	D0YU0L	Phase 1	CAR-T-Cell-Therapy
