,alkaptonuria,homocystinuria,nonketotic hyperglycinemia,phenylketonuria,tyrosinemia I,tyrosinemia II,tyrosinemia III
NR3C1,0.9869200563027629,0.9579347097711485,0.9766364785704853,0.9049282772236881,0.9997362020271338,0.9992683739341739,0.9998021178570599
ITGA4,0.8184098477700262,0.7151189925935002,0.7706227242140644,0.8837645917790875,0.9999787476522943,0.9909422495904111,0.9959068744442189
TNF,0.9920590187966234,0.7100362195101966,0.7909353463546018,0.9346190481201269,0.9976309749104719,0.766079866691785,0.8015261485162193
PARP1,0.924374265411515,0.9233650648373724,0.8157201257309092,0.9124732964993436,0.9999966569315378,0.9865321851833084,0.9993739046322033
IDH1,0.9629228822669513,0.7308116912866238,0.5563265917464242,0.9014003250253925,0.9897394990898076,0.9909422495904111,0.9959068744442189
PPIA,0.9629228822669513,0.9155024320051612,0.8246941753783865,0.8998033823253729,0.9997683967638361,0.9972191510078559,0.9990112508542304
ABAT,0.8184098477700262,0.6187512884617389,0.54284892028499,0.5165286887124922,0.998766581781007,0.9632899930489504,0.9780617229764147
PRDX5,0.941393067862598,0.8033100440919547,0.69206110104213,0.8554250990112982,0.9818962858002689,0.9746456083195493,0.9859177955121627
ATP1A1,0.9726014719342196,0.9334172235917373,0.994476815690053,0.9331872115206812,0.9936907275093223,0.9703334646012052,0.9830014109148867
GLA,0.8184098477700262,0.2207586757943499,0.2161601983100443,0.42757289030077794,0.7053810737333275,0.3078545445636631,0.3082494184351322
EGFR,0.9929714704761469,0.9244379215163214,0.9206019959951046,0.9771867422941416,0.998766581781007,0.9997753769961226,0.9999523650699064
PPP1CA,0.9831110848176977,0.9430098219009525,0.9230433465988357,0.9376967734618734,0.9999966569315378,0.9977498360113317,0.9994685238401002
G6PD,0.9689322589868739,0.7923172435403991,0.7025928625108502,0.9007829891606848,0.997117607192098,0.9909422495904111,0.9959068744442189
GLP1R,0.9999999996527902,0.5181809933298711,0.632794843189156,0.46845983941354613,0.10808039962790339,0.3078545445636631,0.3082494184351322
FNTB,0.8184098477700262,0.48558008159409183,0.5583478389929275,0.5894839510280698,0.9750799998073167,0.3078545445636631,0.3082494184351322
CTNNB1,0.9935538686305547,0.956404726851872,0.8254407898439742,0.9167190955949419,0.9999787476522943,0.9865321851833084,0.9990112508542304
CFTR,0.9980184502557605,0.8650393283045374,0.9146529535721801,0.9510170988121509,0.9983305429659425,0.8239837065584011,0.8580806146135407
EZH2,0.8961395744159513,0.9314837557078111,0.8710590271796057,0.9419151915479731,0.9999934949962019,0.9909422495904111,0.9959068744442189
SLC33A1,0.9463439341281245,0.6988255700471167,0.5172544559768206,0.880450900501747,0.8861335013533067,0.7554962159659931,0.7909273953718129
NTRK1,0.9669105424240795,0.9326013402619919,0.9428774621869034,0.948736520933821,0.9999990306131903,0.9988382873119409,0.9975215540566083
ACLY,0.9110889509230846,0.9169910979646942,0.948629329883618,0.9026180420712263,0.9998684912441526,0.9502159831461611,0.9684164007818084
FDPS,0.9110889509230846,0.8709454607192375,0.6831095805116572,0.8597180142146505,0.9993248147934477,0.9977498360113317,0.9992337944003871
MPL,0.44342753306830984,0.6568891751293203,0.7194810125729093,0.6961875233736629,0.9750799998073167,0.7402560503865272,0.7755424130681752
FOLH1,0.5131559181679536,0.2268023432472847,0.25279842417085135,0.6588772303424164,0.9897394990898076,0.3078545445636631,0.3082494184351322
HSP90AA1,0.9869200563027629,0.9312622661747616,0.8852251273190569,0.9738183365694951,0.9999986047910905,0.9999530901524967,0.9998021178570599
PRKCE,0.8184098477700262,0.30192680806539346,0.35026182155391383,0.6235449497798402,0.10808039962790339,0.3078545445636631,0.3082494184351322
TXNRD1,0.9005856040173568,0.8526636235006249,0.844254993417954,0.9153039623774651,0.994922458601639,0.9909422495904111,0.9959068744442189
MTOR,0.996116098542742,0.9968366858155902,0.9979481438269291,0.9513569249531114,0.9999952127125661,0.9502159831461611,0.9684164007818084
ADRB2,0.3426702433455221,0.6568243723315476,0.9797219458775442,0.39624909410572673,0.005094354525096345,0.8239837065584011,0.8580806146135407
STAT3,0.9750563071071771,0.965477146485601,0.9766364785704853,0.9165797245801579,0.9996194622981555,0.9431562028866598,0.9629935045578503
CPS1,0.8184098477700262,0.30192680806539346,0.632794843189156,0.49936129684322256,0.10808039962790339,0.3078545445636631,0.3082494184351322
ICAM1,0.9999999996527902,0.30192680806539346,0.632794843189156,0.8184156011549104,0.10808039962790339,0.3078545445636631,0.3082494184351322
SOST,0.8184098477700262,0.118820867389738,0.632794843189156,0.8184156011549104,0.10808039962790339,0.3078545445636631,0.3082494184351322
TK1,0.9997986729681749,0.9306727713172886,0.9422187984988599,0.9088972220741139,0.998766581781007,0.9946793347919854,0.9978411273934438
OXTR,6.8470020816521706e-06,0.118820867389738,0.632794843189156,0.00014450127354409152,0.10808039962790339,2.2978812257895183e-10,5.5665796345082364e-12
PLAU,0.8184098477700262,0.44311044588100823,0.595530131687712,0.37433319939789705,0.7053810737333275,0.3078545445636631,0.3082494184351322
FUT4,6.8470020816521706e-06,0.01868093207815505,1.589052470622418e-07,0.14849558005340133,2.5664651152923453e-11,0.3078545445636631,5.5665796345082364e-12
ATP4A,0.996116098542742,0.606113530379861,0.54284892028499,0.7709297787666431,0.8374733106636041,0.9632899930489504,0.9780617229764147
PIK3CD,0.44342753306830984,0.2089249754463624,0.1976425241192134,0.5581267983534868,0.01064373144584935,0.3078545445636631,0.03930048280199877
SSTR5,6.8470020816521706e-06,0.0032477587553270304,0.024306576698016495,0.20796075051727686,0.0012910791065320125,0.9204619399398323,0.00469447001223513
SRD5A2,0.8184098477700262,0.118820867389738,0.632794843189156,0.004573091885745112,0.10808039962790339,2.2978812257895183e-10,5.5665796345082364e-12
IL2RA,0.8184098477700262,0.118820867389738,0.35026182155391383,0.1793970374830778,0.10808039962790339,0.3078545445636631,0.3082494184351322
VEGFB,0.19951473786379098,0.2614255424810368,0.15195607557375368,0.10995192757689236,0.10808039962790339,0.3078545445636631,0.3082494184351322
PDE4D,0.9629228822669513,0.731678101796264,0.755966090188074,0.8342319983154682,0.9897394990898076,0.9204619399398323,0.9447467188217953
