,alkaptonuria,homocystinuria,nonketotic hyperglycinemia,phenylketonuria,tyrosinemia I,tyrosinemia II,tyrosinemia III
TXNRD1,0.875317013574573,0.8341975744821166,0.794039850532956,0.8346529202867501,0.989505149879801,0.98918365077051,0.9959833291131741
MTOR,0.9998789921331853,0.9939802208953639,0.9964230876300779,0.9243368028341588,0.9999973178464948,0.939731451084759,0.9649171937275915
ADRB2,0.3374357501766858,0.6470273387809026,0.9692354284144039,0.37782750804749854,0.04855185964105163,0.7905382857035556,0.8342295648784266
STAT3,0.991537441077548,0.9556317025471934,0.9645399875962387,0.8353955545703957,0.9988290665626346,0.9312102885354739,0.958584616372588
CPS1,0.6790270450799486,0.24364568875333187,0.6109110325873919,0.4379642428988874,0.11380917664527818,0.24819679656490873,0.23927535108126674
ICAM1,1.0,0.24364568875333187,0.6109110325873919,0.6733100386308261,0.11380917664527818,0.24819679656490873,0.23927535108126674
SOST,0.6790270450799486,0.10939308551367258,0.6109110325873919,0.6733100386308261,0.11380917664527818,0.24819679656490873,0.23927535108126674
TK1,0.9999999330244247,0.8914249201171831,0.9159090824406083,0.8262764694650766,0.9968326309338876,0.9937060110829244,0.9979774211510535
OXTR,0.0010602108428699446,0.10939308551367258,0.6109110325873919,0.007795254107345456,0.11380917664527818,0.0020492550998632733,0.0007356872580742899
PLAU,0.6790270450799486,0.37954166277559664,0.5569627306904068,0.3384508857134704,0.6677360699582647,0.24819679656490873,0.23927535108126674
FUT4,0.0010602108428699446,0.02155611089752818,0.007489018560003111,0.11822866677246036,0.0012777559043513375,0.24819679656490873,0.0007356872580742899
ATP4A,0.9998789921331853,0.5864036623882544,0.4577481820834897,0.6241566195722916,0.8005862339196105,0.9555632064261992,0.9760810230579844
PIK3CD,0.40416487567242343,0.2713124003787165,0.324841952669754,0.5686034751727431,0.05837626870196363,0.5289125647116502,0.11449540265322522
SSTR5,0.0010602108428699446,0.03819866023503787,0.11294516480632183,0.2377001768780648,0.035155052401458234,0.9039591461900491,0.06269782867589846
SRD5A2,0.6790270450799486,0.10939308551367258,0.6109110325873919,0.016618457965790197,0.11380917664527818,0.0020492550998632733,0.0007356872580742899
IL2RA,0.6790270450799486,0.10939308551367258,0.2736547870145967,0.16052693366241994,0.11380917664527818,0.24819679656490873,0.23927535108126674
VEGFB,0.23752432374984744,0.2728252514117224,0.1815951000665546,0.1388124783829475,0.11380917664527818,0.24819679656490873,0.23927535108126674
PDE4D,0.9806692649606809,0.7054399494654267,0.7084039206083625,0.7145442441632305,0.980953715745556,0.9039591461900491,0.9371027396253475
MRM2,0.0010602108428699446,0.24364568875333187,0.2736547870145967,0.3521268147343427,0.11380917664527818,0.24819679656490873,0.23927535108126674
ALDH5A1,0.40416487567242343,0.4883115933303742,0.2736547870145967,0.6221996628490858,0.776882764375318,0.6951834657046287,0.7373134457757434
IL37,0.0010602108428699446,0.3252976054025736,0.11602735535757144,0.16052693366241994,0.0012777559043513375,0.0020492550998632733,0.0007356872580742899
IMPDH2,0.9865677268860792,0.7911741976791964,0.7518389068149703,0.7830565468784434,0.9994559948025331,0.9948765760912767,0.9984419986070542
PPP3CA,0.991537441077548,0.8378121058839032,0.8349714842001597,0.822256885560612,0.9968326309338876,0.8656331692379723,0.9043842961068032
PDGFRB,0.9097521095016318,0.7724636478764599,0.6127213193855755,0.7488706318329074,0.9302192130276163,0.9312102885354739,0.958584616372588
FECH,0.6790270450799486,0.474680386069003,0.2736547870145967,0.25051660592767255,0.11380917664527818,0.24819679656490873,0.23927535108126674
LPCAT1,0.9596998484076454,0.6472158466432147,0.5236103583108095,0.7111111564096231,0.7768827643753182,0.38849222905056957,0.39715085412275986
LCK,0.9979422346686906,0.8384838666815895,0.8748162219315643,0.9785229956978363,0.9935024583432858,0.9312102885354739,0.958584616372588
BCL2,0.9806692649606809,0.8206539860503795,0.5513171487253583,0.9302584702853818,0.999998946737,0.9462761607263879,0.9696340292947095
FYN,1.0,0.8762415506525656,0.7102176869197883,0.9866869084808844,0.9972551064645673,0.9967559046747358,0.9991276491445567
SLC23A1,0.0010602108428699446,0.10939308551367258,0.2736547870145967,0.16052693366241994,0.11380917664527818,0.0020492550998632733,0.0007356872580742899
ITPR1,0.6790270450799486,0.24364568875333187,0.2736547870145967,0.6733100386308261,0.9998980134344836,0.24819679656490873,0.23927535108126674
CSNK1E,0.8973107319276334,0.7916639158296686,0.7645394812839208,0.8093786014911896,0.9995234165546294,0.9641170833174284,0.981726185543838
PTPN1,0.9998789921331853,0.7311008836152829,0.7308765783615261,0.7920526826754642,0.8950360640807875,0.7398572386490883,0.9760810230579844
DPP4,0.6790270450799486,0.7794248544019559,0.770342110832235,0.736665491805004,0.9254920371715519,0.9462761607263879,0.9696340292947095
HDAC1,0.9522501479935878,0.8209566295626745,0.7446774599905759,0.8348322521460482,0.9999995888437846,0.9223689378465634,0.9999185174529299
PCDHA4,1.0,0.24364568875333187,0.2736547870145967,0.4379642428988874,0.11380917664527818,0.24819679656490873,0.23927535108126674
ITGB7,0.6790270450799486,0.6095849160138291,0.2736547870145967,0.668686288383468,0.980953715745556,0.9994973981794538,0.9999185174529299
FGA,0.9374246220057324,0.5137692154517912,0.47972260283004775,0.8325924768634912,0.9366354429524727,0.9973881974788839,0.9993375909333231
CFH,0.9979422346686906,0.9688907987003974,0.9365045789227789,0.8285407053960367,0.980953715745556,0.9998232616241474,0.9999784653107436
ALAD,0.5569975052038197,0.4071420914101408,0.35104672600337616,0.644518235783561,0.3775699660664487,0.65628502538952,0.6959993007368979
ANXA1,0.6790270450799486,0.7540495688745263,0.7317884334459801,0.9096612192017195,0.9999998488348691,0.9971695058825778,0.9992663674080904
XDH,0.6790270450799486,0.6928027589272245,0.641293777917679,0.8103410668983765,0.8950360640807875,0.9999999331450294,0.9999999990721888
PLG,0.6790270450799486,0.6289698273498614,0.5410038328282036,0.80198970031013,0.9882994015227329,0.9932795712779539,0.9978021274401087
TYMP,0.6790270450799486,0.6221089236508223,0.5693744716338012,0.8230803923106784,0.980953715745556,0.9994973981794538,0.9999185174529299
BLVRA,0.6790270450799486,0.7573922817880664,0.4577481820834897,0.8310983428105614,0.9873854275799847,0.9555632064261992,0.9760810230579844
ALB,0.9374246220057324,0.8209425822921786,0.7002953443332305,0.9234409403097313,0.9922217974191739,0.9999610232937377,0.9999968630673582
CYP17A1,0.40416487567242343,0.31735942582231136,0.1667266531592066,0.6281500173275065,0.776882764375318,0.24819679656490873,0.23927535108126674
HMGCR,0.23752432374984744,0.43626528055586,0.11294516480632183,0.42879031503079845,0.035155052401458234,0.9039591461900491,0.23927535108126674
ABCC9,0.0010602108428699446,0.09054772279233284,0.11602735535757144,0.16052693366241994,0.11380917664527818,0.24819679656490873,0.23927535108126674
ACD,0.9097521095016318,0.8805990594693436,0.9523456980216627,0.7179219164714068,0.9999950333455708,0.65628502538952,0.6959993007368979
SYK,0.6790270450799486,0.24364568875333187,0.2736547870145967,0.6733100386308261,0.11380917664527818,0.24819679656490873,0.23927535108126674
GSK3A,0.991537441077548,0.33393057606385723,0.3972792901568456,0.5707042507734705,0.41199952180411004,0.13173315079422776,0.11449540265322522
PPOX,0.23752432374984744,0.3915055310629341,0.5693744716338012,0.3628172256137013,0.11380917664527818,0.9039591461900491,0.9371027396253475
MEC1,0.9163391561450508,0.8528119427422624,0.8097831373740301,0.8685266398486968,0.9999966156742933,0.9937060110829244,0.9985894856392089
ERBB2,0.9998789921331853,0.8933070324754796,0.8618094898936419,0.9276865948148274,0.9984469349880837,0.9942274295071215,0.998187488986279
CHRM2,0.6790270450799486,0.4012247053628698,0.11294516480632183,0.274192569290768,0.6677360699582647,0.24819679656490873,0.23927535108126674
MUT,0.6790270450799486,0.24364568875333187,0.2736547870145967,0.25051660592767255,0.11380917664527818,0.24819679656490873,0.23927535108126674
IMPDH1,0.9806692649606809,0.801607050299288,0.7329934683526043,0.8368358899455014,0.9980978608248834,0.98918365077051,0.9959833291131741
PLAUR,0.48387874536319386,0.6508967820105179,0.6848226950835481,0.5667778648798311,0.776882764375318,0.24819679656490873,0.23927535108126674
PRKCA,0.9447960602198195,0.8475370917834197,0.6977881018597467,0.8384522295568508,0.9977843731428534,0.9617541532994237,0.9801976113059165
ALDH3A2,0.991537441077548,0.823523961443929,0.8584864588842769,0.9276212028244156,0.9999963142980344,0.9555632064261992,0.9760810230579844
GBA,0.6790270450799486,0.474680386069003,0.2736547870145967,0.3521268147343427,0.11380917664527818,0.24819679656490873,0.23927535108126674
TRHR,0.9764119962195399,0.16889649307145466,0.018400361031662715,0.21677722175717093,0.04855185964105163,0.7905382857035556,0.09232972946820334
FGF2,0.40416487567242343,0.41035035277864373,0.2736547870145967,0.7720047422908898,0.9968326309338876,0.9555632064261992,0.9760810230579844
MTNR1A,0.8656576623924761,0.797841274025975,0.7641037654485427,0.7887179473316787,0.980953715745556,0.9820604016057759,0.9923818244543612
ESRRA,0.0010602108428699446,0.24364568875333187,0.2736547870145967,0.4379642428988874,0.11380917664527818,0.24819679656490873,0.23927535108126674
COASY,0.9097521095016318,0.6731162419521844,0.7387261089390427,0.8258252223038444,0.22386858306900836,0.65628502538952,0.6959993007368979
ABCA1,0.6790270450799486,0.6534226467980061,0.2736547870145967,0.7644324241423219,0.9595788723513496,0.6951834657046287,0.7373134457757434
TGFB1,0.8858462332057486,0.7518221068305395,0.760376308496983,0.8068055786910053,0.9950389183472758,0.9462761607263879,0.9696340292947095
JAK1,0.991537441077548,0.8317414040929938,0.8497272729382819,0.8399616572430297,0.9984469349880837,0.9942274295071215,0.998187488986279
INSR,0.9522501479935878,0.837706131349047,0.594581399955764,0.8166950309954908,0.9935024583432858,0.7905382857035556,0.8342295648784266
PCSK9,0.6790270450799486,0.6107325308998032,0.5887149736513555,0.6366655241442378,0.980953715745556,0.9039591461900491,0.9371027396253475
SCNN1A,0.40416487567242343,0.4883115933303742,0.2736547870145967,0.8257840853579479,0.9595788723513496,0.6951834657046287,0.7373134457757434
FHIT,0.0010602108428699446,0.10939308551367258,0.2736547870145967,0.6733100386308261,0.11380917664527818,0.24819679656490873,0.23927535108126674
PDGFRA,0.9097521095016318,0.7538895905759958,0.7572813310669668,0.9856550907401184,0.980953715745556,0.9312102885354739,0.958584616372588
NAGLU,0.6790270450799486,0.24364568875333187,0.2736547870145967,0.4858624016596112,0.11380917664527818,0.24819679656490873,0.23927535108126674
NFKB1,0.991537441077548,0.7438995908514588,0.583157184611682,0.7850808295024494,0.9918447977297304,0.6951834657046287,0.7373134457757434
ARSB,0.0010602108428699446,0.21007788253597162,0.11602735535757144,0.4858624016596112,0.11380917664527818,0.24819679656490873,0.23927535108126674
IL17RA,0.029141896777503354,0.5063336756589732,0.5693744716338012,0.48107469725350666,0.11380917664527818,0.24819679656490873,0.23927535108126674
GALNS,0.3374357501766858,0.6677368355201276,0.5042202398716982,0.8192491507696239,0.5094235709167023,0.7905382857035556,0.8342295648784266
FGFR3,0.0010602108428699446,0.24364568875333187,0.2736547870145967,0.6733100386308261,0.11380917664527818,0.24819679656490873,0.23927535108126674
ALOX5,0.6790270450799486,0.10939308551367258,0.2736547870145967,0.6733100386308261,0.11380917664527818,0.24819679656490873,0.23927535108126674
GUCY2D,0.0010602108428699446,0.02155611089752818,0.007489018560003111,0.4379642428988874,0.11380917664527818,0.24819679656490873,0.23927535108126674
STS,0.6790270450799486,0.18937652035454772,0.007489018560003111,0.3419539259629814,0.11380917664527818,0.0020492550998632733,0.0007356872580742899
TSHR,0.6790270450799486,0.5413802725549592,0.2736547870145967,0.6589794199236948,0.9595788723513496,0.24819679656490873,0.23927535108126674
CACNA1C,0.6790270450799486,0.7966036253239498,0.9692354284144039,0.8267135229492387,0.8950360640807875,0.98918365077051,0.9959833291131741
